username,dates,location,rating,comment,useful,funny,cool,WeekDay,State
Carter B G.,2020-12-10,"Vickery Meadow, Dallas, TX",5,"This place is awesome. Great food for good value which is a rare gem on the lower Greenville strip. Bryan helped us out and he is a really great guy. Come in and grab a burger, it'll be worth your time.",1,0,0,jueves,TX
Sydney G.,2020-12-10,"Abilene, TX",5,SON OF A BUTCHER IS AMAZING YALL!!!! food - INCREDIBLE. location - AWESOME. service - ABOVE & BEYOND. everyone has got to check them out!!! i cannot say enough good things for real!  will definitely be back A LOT :),1,0,0,jueves,TX
Matt F.,2020-12-10,"Houston, TX",5,This place is the bomb! Great sliders and the fries and shakes are amazing too. Would definitely recommend.The outdoor seating is really nice right on Lower Greenville .,1,0,0,jueves,TX
Ralph J.,2020-12-13,"Manhattan, New York, NY",5,"Didn't expect it but, Son of a Butcher was truly phenomenal. It's in a great location and we were really pleased with our experience. They have a lovely menu also. Everyone seems genuinely nice here. Definitely will come back to Son of a Butcher always.",0,0,0,domingo,NY
Regan C.,2020-12-18,"Provo, UT",5,"Went last night around 6, plenty of parking in the back. We got 6 different sliders to try and they were all delicious. Favorites were Buffalo and TX Philly. The lemon meringue shake was super good, very thick and creamy. Cheese curds also good, a little spicy and a ton of flavor. Will be back!",1,0,0,viernes,UT
Francisco M.,2020-12-18,"Parkdale, Dallas, TX",5,My boy Brian J. I think that's what his name was. Best attitude best customer service and the best suggestion. I got the TX philly and he offered the Nashville hot. Not going to lie it was AMAZING. Will be returning. Sincerely you're best new customer,0,0,1,viernes,TX
Calme C.,2020-12-20,"San Francisco, CA",1,"The waffle fries and the Bergers are very tasty but The sizes are so tiny that I will not go back. The size is basically for a  three years old. I ordered for two adults and one child ( 3 sliders) , I thought I would have normal sizes portions. BUT NOT AT ALL!  I spent  more than $32 + $2 tips and  we sadly  left hungry . I had not ate  for the whole day so it was hard to swallow the bill and to leave the place starving..... It is so insulting in your soul when those situations happens. I went back home to eat and nourish my body,  myself.....!",0,8,2,domingo,CA
Lee A.,2020-12-20,"Plano, TX",5,"If you like great food that is a little off the norm, this will be your new fav. I had the PBJ slider, which was a great pairing of sweet and savory. Very yummy. The Popper slider was my friend's favorite.We paired sliders with the nacho fry. The waffle type fries are a good foundation for the amazing toppings piled on top.There are interesting flavors of sodas to enjoy, or beer and wine. My friend ordered the Pistachio Mint shake and we shared it for dessert. The shake was thick and rich with an amazing  flavor combination. It was a great ending to a unique and fun dining experience. This place is very new. It has fun decor celebrating meat! Don't worry though, there is actually a veggy option for those who prefer plant based burgers.The location has indoor dining which is very clean and observing social distancing. The patio has a fun atmosphere,  were you can eat and watch all the excitement on the street.The staff was very engaging and professional.  They made you feel welcome and they made sure that you had a great experience. For those who choose to grab and go, you can pre-order your food and pick it up at a drive up window. No need to change from your WFH pj's!",3,1,0,domingo,TX
Mary D.,2020-12-20,"Dallas, TX",5,"WOW. If you are looking for a laid-back spot to get a great meal, this is your place. We had a group of 7, so we ordered a large selection of sliders and a handful of beers. Every slider was well presented, and all were incredible. The owner stopped by our table and made sure to chat with us and thank us for coming in. The restaurant itself is small inside but has a sprawling patio with many tables and heaters spread throughout. Looking forward to going back very soon and trying more of their sliders!",4,0,0,domingo,TX
Sarah H.,2020-12-21,"Northlake, TX",5,"I was able to drop by Son of a Butcher this weekend and the sliders are top notch! Very unique choices with fresh ingredients and vibrant flavors on everything I ordered. The staff is super friendly, greeted me in the line, and even helped guide me through the ordering process. I was recommended the popper slider(YESS!).This area is super walkable with plenty of parking and they even have a way to order online and pickup without getting out of your car!! Food: Pictured are two sliders (a PB&J slider and a Jalapeño popper slider) which were both killer. The PBJ slider is juicy and filled with both sweet and savory. The popper slider had a dollop of cream cheese and jalapeños with just enough heat to enjoy. My nacho fries (perfect addition suggested by the cashier) were perfectly crispy and covered with a little bit of spice and a lot of yummy ingredients. I can't wait to go back and try other sliders on the menu! I think next up is the Philly cheesesteak or maybe the Nashville Hot... so many choices!!!",4,0,0,lunes,TX
